[2025-09-26 22:35:04,261: INFO: main]: Starting the CNN Classifier application...
[2025-09-26 22:42:15,795: INFO: main]: Starting the CNN Classifier application...
[2025-09-26 22:42:41,277: INFO: main]: Starting the CNN Classifier application...
[2025-09-27 01:47:27,048: INFO: common]: yaml file: config\config.yaml loaded successfully
[2025-09-27 01:47:27,057: INFO: common]: yaml file: params.yaml loaded successfully
[2025-09-27 01:51:11,134: INFO: common]: yaml file: config\config.yaml loaded successfully
[2025-09-27 01:51:11,136: INFO: common]: yaml file: params.yaml loaded successfully
[2025-09-27 01:51:46,794: INFO: common]: yaml file: config\config.yaml loaded successfully
[2025-09-27 01:51:46,796: INFO: common]: yaml file: params.yaml loaded successfully
[2025-09-27 01:51:46,799: INFO: common]: Created directory at: artifacts
[2025-09-27 01:51:46,802: INFO: common]: Created directory at: artifacts/data_injection
[2025-09-27 01:51:46,804: INFO: 2108146548]: Downloading file from : https://drive.google.com/file/d/1japQFug4eo3bz9mKibbk-aR4YJVhU4H1/view?usp=drive_link to : artifacts\data_injection\data.zip
[2025-09-27 01:55:47,667: INFO: common]: yaml file: config\config.yaml loaded successfully
[2025-09-27 01:55:47,670: INFO: common]: yaml file: params.yaml loaded successfully
[2025-09-27 01:55:47,673: INFO: common]: Created directory at: artifacts
[2025-09-27 01:55:47,674: INFO: common]: Created directory at: artifacts/data_injection
[2025-09-27 01:55:47,678: INFO: 2108146548]: Downloading file from : https://drive.google.com/file/d/1japQFug4eo3bz9mKibbk-aR4YJVhU4H1/view?usp=drive_link to : artifacts\data_injection\data.zip
[2025-09-27 02:00:26,990: INFO: common]: yaml file: config\config.yaml loaded successfully
[2025-09-27 02:00:26,993: INFO: common]: yaml file: params.yaml loaded successfully
[2025-09-27 02:00:26,996: INFO: common]: Created directory at: artifacts
[2025-09-27 02:00:26,998: INFO: common]: Created directory at: artifacts/data_injection
[2025-09-27 02:00:27,000: INFO: 3513763619]: Downloading file from : https://drive.google.com/file/d/1japQFug4eo3bz9mKibbk-aR4YJVhU4H1/view?usp=drive_link to : artifacts\data_injection\data.zip
[2025-09-27 02:01:06,586: INFO: common]: yaml file: config\config.yaml loaded successfully
[2025-09-27 02:01:06,589: INFO: common]: yaml file: params.yaml loaded successfully
[2025-09-27 02:01:06,591: INFO: common]: Created directory at: artifacts
[2025-09-27 02:01:06,594: INFO: common]: Created directory at: artifacts/data_injection
[2025-09-27 02:01:06,596: INFO: 2789812827]: Downloading file from : https://drive.google.com/file/d/1japQFug4eo3bz9mKibbk-aR4YJVhU4H1/view?usp=drive_link to : artifacts\data_injection\data.zip
